qno,Questions,new_paratext
10,Where does food production in plants take place ?,"[' Plants produce food from water, nutrients in the and the carbon dioxide present in the air', ' This process is called photosynthesis', 'Food is necessary for growth', ' This process takes place in the leaves of plants', ' Plants make Plants own food in sunlight', ' This process is brought about in the presence of sunlight, with the help of the chlorophyll in the leaves']"
11,which of the following gases is used by green plants in photosynthesis.\n,"[' During This process, plants give out oxygen', ' Plants produce food from water, nutrients in the and the carbon dioxide present in the air', ' Plants appear mainly green in colour due to the chlorophyll in Plants', ' This process is called photosynthesis', ' This process takes place in the leaves of plants', ' This process is brought about in the presence of sunlight, with the help of the chlorophyll in the leaves']"
12,What is an unicellular structure ?,"[' On the other hand, the living things that   are made of many cells are called multicellular organisms', ' are all multicellular organisms', 'Living things are made of small units called cells', ' Some living things are called unicellular organisms', ' Some living things are made of a single cell', '  All the characteristics of living things are seen in every cell of a living thing, whether it is unicellular or multicellular']"
13,which of the following animals is unicellular\n,"[' The amoeba and some other microorganisms are unicellular while man, cow, mouse, cockroach, elephants, banyan tree, the onion plant, etc are all multicellular organisms', 'A cellular structure Do you know? The lifespan of the giant turtle found on the Galapagos Island in South America is about 170 years',  ' All the characteristics of living things are seen in every cell of a living thing, whether it is unicellular or multicellular', ' Living things are made of small units called cells', ' On the other hand, the lifespan of the mayfly ranges from 1 hour to 24 hours', ' Some living things are called unicellular organisms', ' On the other hand, the living things that are made of many cells are called multicellular organisms', ' Some living things are made of a single cell']"
14,which part of plants store waste substances\n,"[' For example, some plants shed leaves in a specific season', ' These are called excreta and the process of eliminating These from the body is called excretion', 'Waste substances are formed during the many processes that take place in the bodies of animals', ' Waste substances stored in the leaves of plants are shed along with the leaves of plants', ' Plants, too, excrete']"
15,What is named for the ability to produce new living thing similar to parent ?,"[' New plants are produced from the seeds, stems or leaves of plants', 'Living things produce other living things like Living things', ' Some animals give birth to Some animals young ones', ' Some lay eggs', ' At a certain stage of life, living things become capable of reproduction', ' A mare and her foal Reproduction is a characteristic of living things', ' The process by which a living thing generates a new living thing like a living thing is called reproduction or procreation']"
16,What is the life span of dog ?,"[' Later on in life reproduction stage, living things organs become weak and still later, living things life comes to an end', ' In other words, living things die', ' At a certain stage of life, living things become capable of reproduction', 'A definite lifespan', ' For example, the lifespan of the dog is about 12 to 18 years, while the ostrich lives for 50 years', ' The lifespans of different animals and plants are different']"
17,Which is the vertebrate animals ?,"['  Name some animals which lay eggs and others which give birth to their young ones', ' According to the mode of reproduction, animals are classified into two types, namely, oviparous animals which lay eggs and viviparous animals which give birth to animals young ones', ' Snakes, birds, fish and kangaroos as also humans are vertebrate animals', ' Animals such as snails, cockroaches, earthworms do not have a vertebral column and therefore earthworms are invertebrate animals', 'Animals with a vertebral column and those without Animals with a vertebral column form two groups known as the vertebrates and invertebrates, respectively', ' A hen lays eggs and hatches eggs']"
18,What is the property of oviparous animals\n,"['  Name some animals which lay eggs and others which give birth to their young ones', ' According to the mode of reproduction, animals are classified into two types, namely, oviparous animals which lay eggs and viviparous animals which give birth to animals young ones', ' After a few days, the young chicks hatch out of the eggs', ' We have learnt that producing another living thing like oneself is called reproduction', ' Snakes, birds, fish and kangaroos as also humans are vertebrate animals', ' Before that, a calf grows within A cow', ' Animals such as snails, cockroaches, earthworms do not have a vertebral column and therefore earthworms are invertebrate animals', ' A cow gives birth to a calf', ' A hen lays eggs and hatches eggs']"
19,which of the following is an invertebrate animal \n,"['  Name some animals which lay eggs and others which give birth to their young ones', ' According to the mode of reproduction, animals are classified into two types, namely, oviparous animals which lay eggs and viviparous animals which give birth to animals young ones', ' Snakes, birds, fish and kangaroos as also humans are vertebrate animals', ' Animals such as snails, cockroaches, earthworms do not have a vertebral column and therefore earthworms are invertebrate animals', 'Animals with a vertebral column and those without Animals with a vertebral column form two groups known as the vertebrates and invertebrates, respectively', ' A hen lays eggs and hatches eggs']"
20,What is the property of shrubs ?,"[' Shrubs are shorter and smaller than trees, but Shrubs have a thick and hard stem', 'Shrubs grow close to  the ground', ' Shrubs give out branches very close to the ground', ' The stems of herbs are green and quite flexible as compared to those of trees and bushes', ' The oleander, hibiscus, lantana, koranti and rose are shrubs that may grow up to two to three metres']"
21,which plants has thick and hard stem?\n,"[' Herbs grow 1 to 1', ' Herbs may live for a few months or up to two years', '5 metres tall', ' Shrubs are shorter and smaller than trees, but Shrubs have a thick and hard stem', 'Shrubs grow close to  the ground', 'Have you seen vines like the pumpkin, the railroad creeper, kavali, watermelon or the grapevine ? How do vines like the pumpkin, the railroad creeper, kavali, watermelon or the grapevine grow ?', ' Shrubs give out branches very close to the ground', ' The stems of herbs are green and quite flexible as compared to those of trees and bushes', ' The oleander, hibiscus, lantana, koranti and rose are shrubs that may grow up to two to three metres']"
22,What is the characteristics of biennieal plants ?\n,"[' The lifecycle of plants like jowar, sunflower is completed in one year', ' Shrubs like the hibiscus and oleander and trees like mango and gulmohur live for several years and bear flowers and fruit', ' plants are called annuals', ' plants are called biennials', ' The lifecycle of plants like the carrot, beetroot is of two years']"
23,"What is the criteria for classification of plants like herbs, shrubs, creeper and climber ?\n","[' According to the period of Shrubs like the hibiscus and oleander and trees like mango and gulmohur lifecycle, plants are classified as annuals, biennials, perennials', ' Shrubs like the hibiscus and oleander and trees like mango and gulmohur live for several years and bear flowers and fruit', ' plants are called annuals', ' Shrubs like the hibiscus and oleander and trees like mango and gulmohur are called perennials', ' plants are called biennials', 'According to the size and height of stems, plants are classified into three types such as tree, shrubs and herbs']"
24,How coconut fruit is dispersed ?\n,"[' Seeds of some plants such as lotus and coconut are spongy or have fibrous covering which help Seeds of some plants such as lotus and coconut to float on water', ' Some seeds stick to the body of animals and birds and are carried away from Sycamore Plants', ' Birds and animals also eat fruits seeds pass through Birds and animals digestive system undigested and are dispersed to other areas', ' Animals and human beings eat some fruits and throw away the seeds, which grow into new plants', ' Water transports bury seeds from one place to another', ' the coconut palms on south sea islands grew from coconuts carried there by ocean currents', ' Coconuts can travel several thousand kilometers across oceans', ' Fruits of certain plants such as poppy, pea, beans burst open when beans are ripe, scattering the seeds in all directions']"
25,How the seeds of dandelion are dispersed?\n,"['  Certain seeds have hooks, stiff hairs or spines which help in Certain seeds dispersal', ' Nature has Nature own ways of dispersal of seeds', 'The process by which the seeds are scattered away from the mother plants is called dispersal ', ' The fluff around the cotton seeds helps to float away with Wind', ' Seeds of certain plants are easily carried away by wind', ' Wind carries Dandelion Seeds far away parent plants', ' Dandelion Seeds have hair that act like a parachute', ' Water transports bury seeds from one place to another', ' Sycamore Plants has winged seeds that are carried away by wind', ' Seeds of certain plants are very light and have wings hair on Seeds of certain plants']"
26,which food help us in formation of stool\n,"[' Fibrous substances help the food to move forward in the alimentary canal at the right speed', ' Fibre is also called roughage', ' In the process of digestion, fibre has a special function', ' Up to now our have learnt about three types of substances present in our food starch, sugar and fibre', ' Fruits and vegetables, especially their skins, whole grains and pulses are all sources of fibre in food', ' If our food does not contain enough fibre, our food can lead to constipation', ' Fibre helps to form stool from the food']"
27,which food component works in the process of digestion ?\n,"[' Fibrous substances help the food to move forward in the alimentary canal at the right speed', ' In the process of digestion, fibre has a special function', ' about three types of substances present in our food starch, sugar and fibre are together called carbohydrates', ' If our food does not contain enough fibre, our food can lead to constipation', ' Fruits and vegetables, especially their skins, whole grains and pulses are all sources of fibre in food', ' Up to now our have learnt about three types of substances present in our food starch, sugar and fibre', ' Fibre helps to form stool from the food']"
28,which food acts as  building blocks of body\n,"[' Proteins are required in plenty during the growing years of a person life', 'Just as stones and bricks are the building blocks needed for a wall, proteins are the building blocks of our body', ' All the different daals, pulses, groundnuts, milk and milk products like yoghurt, khoya and paneer, eggs, meat and fish are rich sources of proteins', ' our body undergoes wear and tear continuously', ' Proteins are necessary for that purpose', ' To get the required proteins, our daily diet  should include daals, pulses as well as milk and milk products']"
29,what must be taken to make our bones and teeth strong?\n,"[' Iron, calcium, sodium, potassium are needed in very small quantities but Iron, calcium, sodium, potassium have an important part to play in all the necessary functions of the body', ' The mineral calcium makes our bones strong', ' That is why, as far as possible, we should eat fruits with fruits skins and we should not sift flour to throw away the bran', 'Iron, calcium, sodium, potassium are examples   of   minerals that are essential for the body', ' All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses, All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses skins and the bran of cereals and pulses are all sources of vitamins and minerals', ' For   example,   iron   is    necessary for carrying oxygen to different parts of the body']"
30,How many minerals are mentioned in the paragraph?,"[' Iron, calcium, sodium, potassium are needed in very small quantities but Iron, calcium, sodium, potassium have an important part to play in all the necessary functions of the body', ' The mineral calcium makes our bones strong', ' That is why, as far as possible, we should eat fruits with fruits skins and we should not sift flour to throw away the bran', 'Iron, calcium, sodium, potassium are examples of minerals that are essential for the body', ' All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses, All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses skins and the bran of cereals and pulses are all sources of vitamins and minerals', ' For example, iron is necessary for carrying oxygen to different parts of the body']"
31,why we eat plenty of fruits and vegetables? \n,"[' Iron, calcium, sodium, potassium are needed in very small quantities but Iron, calcium, sodium, potassium have an important part to play in all the necessary functions of the body', ' The mineral calcium makes our bones strong', ' That is why, as far as possible, we should eat fruits with fruits skins and we should not sift flour to throw away the bran', 'Iron, calcium, sodium, potassium are examples   of   minerals that are essential for the body', ' All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses, All kinds of fruits, vegetables, green leafy vegetables, sprouted pulses skins and the bran of cereals and pulses are all sources of vitamins and minerals', ' For   example,   iron   is    necessary for carrying oxygen to different parts of the body']"
32,which mineral causes condition of anaemia ? \n,"[' Iron, calcium, sodium, potassium are needed in very small quantities but Iron, calcium, sodium, potassium have an important part to play in all the necessary functions of the body', ' This condition is called anaemia', ' The mineral calcium makes our bones strong', 'Iron, calcium, sodium, potassium are examples   of   minerals that are essential for the body', ' If there is a deficiency of iron in the blood, the body does not get enough supply of oxygen, and one feels constantly weak and tired', ' For   example,   iron   is    necessary for carrying oxygen to different parts of the body']"
33,How do respiration in plants takes place? \n,"[' have specific organs for respiration', ' What do you feel? If we observe a sleeping dog, what movement of its belly do we see ? Living things need oxygen  in  order to live', ' Inhaling oxygen and exhaling the carbon dioxide formed in  the  body  due to the use of oxygen is called respiration', ' Animals such as fish, snake, mouse, etc', ' On the other hand, plants  respire  by  means of microscopic pores on plants   stems and leaves']"
34,What happens in plant respiration? \n,"[' have specific organs for respiration', ' What do you feel? If we observe a sleeping dog, what movement of its belly do we see ? Living things need oxygen  in  order to live', ' Inhaling oxygen and exhaling the carbon dioxide formed in  the  body  due to the use of oxygen is called respiration', 'Hold your hand in front of your nose or keep your hand on your chest', ' On the other hand, plants  respire  by  means of microscopic pores on plants   stems and leaves']"
35,How trees can be classified ?\n,"['Tree plants grow tall', ' Trees are tall, big and perennial, i', ' Tree plants stem, or trunk, is hard and strong', ' Such plants are called trees', ' Tree plants have branches at some height above the ground']"
36,What does thermal conductivity indicates? \n,"['  a  metal   shows that metals allow heat to flow through metals', ' Even when a piece of  a  metal  is  heated  at  one place, the whole of a  metal   becomes  hot', 'Electricity flows through metals', ' This property is called electrical conductivity', ' metals are conductors of electricity to a greater or lesser extent', ' Metals have a typical shine or lustre', ' This property is called thermal conductivity']"
37,which of the following property is responsible for breaking of chalks in pieces.  \n,"[' This property of a substance is called transparency', ' Glass, some types of plastic, clean water and air  are transparent substances', 'What will happen if pressure is applied on substances like chalk, brick, alum, glass or a rajgira wadi ? substances like chalk, brick, alum, glass or a rajgira wadi break into small pieces or particles', ' This property of a substance is called brittleness', ' Such substances are said to be brittle']"
38,What is the process of separating the cotton fibre from seed ?\n,"[' Ginning was traditionally done by hand', ' Fibres are then separated from the seeds by combing', ' What do you observe? The small, thin strands that you see are made up of cotton fibres', ' This process is called ginning of cotton', ' Where does some cotton wool come from? some cotton wool is grown in the fields', ' After maturing, the balls burst open and seeds covered with cotton fibres can be seen', ' These days, machines are also used for ginning']"
39,Why green plant is the first link to any food chain ?\n,"[' Other animals eat the animals that live on plants', 'Every living thing gets Every living thing food from the environment', ' But plants make plants own food in the presence of sunlight using water and the carbon dioxide from the air', ' It means that plants are the main support of every food chain', ' Many animals in the environment eat only plants']"
40,which one of the following is a synthetic fibre?\n,"[' Cotton and jute are examples of fibres obtained from plants', ' The fibres of some fabrics such as cotton, jute, silk and wool are obtained from plants and animals', ' Some examples of synthetic fibres are polyester, nylon and acrylic', ' These are called natural fibres', ' Wool and silk fibres are obtained from animals', ' For thousands of years natural fibres were the only ones available for making fabrics', ' These are called synthetic fibres', 'Fabrics are made up of yarns and yarns are further made up of fibres']"
41,which is a natural fibre?\n,"[' Cotton and jute are examples of fibres obtained from plants', ' Where do fibres come from? The fibres of some fabrics such as cotton, jute, silk and wool are obtained from plants and animals', ' These are called natural fibres', ' Some examples of synthetic fibres are polyester, nylon and acrylic', ' Wool and silk fibres are obtained from animals', ' For thousands of years natural fibres were the only ones available for making fabrics', ' Silk fibre is drawn from the cocoon of silkworm', ' These are called synthetic fibres', ' The fibres of some fabrics such as cotton, jute, silk and wool are obtained from plants and animals']"
42,Which strands are used for making the clothes?\n,"[' Fibres are then separated from the seeds by combing', ' What do you observe? The small, thin strands that you see are made up of cotton fibres', ' This process is called ginning of cotton', ' From The fruits of the cotton plant (cotton bolls), cotton is usually picked by hand', ' Where does This cotton wool come from? This cotton wool is grown in the fields', ' Take some cotton wool, pull some cotton wool apart and look at some cotton wool edges', ' After maturing, The fruits of the cotton plant (cotton bolls) burst open and the seeds covered with cotton fibres can be seen', ' These days, machines are also used for ginning']"
43,what is the contents of balanced diet ?,"[' For growth and maintenance of good health, our diet should have all the nutrients that our body needs, in the right quantities', 'The food we normally eat in a day is we diet', ' Therefore, one can eat a balanced diet without expensive food materials', ' our diet should also contain a good amount of roughage and water', ' Such a diet is called a balanced diet', ' Foods containing fats and carbohydrates are also called energy giving foods']"
44,which of the following food components is present more in rice?\n,"[' Besides more carbohydrates than other nutrients, our body needs dietary fibers and water', ' In fact, fats give much more energy as compared to the same amount of carbohydrates', ' Which of the following food components is present more in rice? Take a small quantity of a food item or a raw ingredient', ' Food proteins are often called body building food', ' Proteins are also called energy giving foods', 'In a given raw material, one particular nutrient may be present in much larger quantities than in others', ' Thus, we say that rice is a carbohydrate rich source of food', ' For example, rice has more carbohydrates than other nutrients', ' Fats also give our energy', ' Carbohydrates mainly provide energy to our body']"
45,which of the following substance changes starch to blue black?\n,"[' Put 2-3 drops of dilute iodine solution on it', ' Which of the following food components is present more in rice? Take a small quantity of a food item or a raw ingredient', ' Observe if there is any change in the color of the food item', ' Did it turn blue-black? A blue-black color indicates that it contains starch', 'In a given raw material, one particular nutrient may be present in much larger quantities than in others', ' Thus, we say that rice is a carbohydrate rich source of food', ' For example, rice has more carbohydrates than other nutrients']"
46,what are carbohydrates and fats contained foods called ?\n,"[' In fact, fats give much more energy as compared to the same amount of carbohydrates', ' Proteins are also called energy giving foods', ' Food proteins are often called body building foods', ' Fats also give our energy', ' Carbohydrates mainly provide energy to our body']"
47,"which of the following organisms are found as slimy, green patches on ponds or on stagnant water?\n","[' The majority of algae live in aquatic habitats', 'You often see slimy, green patches in ponds or stagnant water bodies', ' Can you guess why algae are green in color? These contain chlorophyll which gives These the green color', ' The majority of algae can thrive in freshwater lakes or in saltwater oceans', ' Algae are also able to survive on land', ' Some unexpected places where Algae grow are tree trunks, animal fur, snow banks, hot spring and in soil, including desert crusts', ' These are generally formed by the growth of organisms called algae']"
48,what is the basic unit of every cloth?\n,"[' Fabrics are made up of yarns and yarns are further made up of fibers', ' Many times, the end of the thread is separated into a few thin strands', ' Where do fibers come from? The fibers of some fabrics such as cotton, jute, silk and wool are obtained from plants and animals', ' a few thin strands are made up of still thinner strands called fibers', ' These are called natural fibers']"
49,which among the following crops requires a warm climate to grow?\n,"[' Fibers are then separated from the seeds by combining', ' This process is called ginning of cotton', ' Can you name some states of our country where cotton is grown? The fruits of the cotton plant(cotton bolls) are about the size of a lemon', ' Where does some cotton wool come from? some cotton wool is grown in the fields', ' From the balls, cotton is usually picked by hand', ' After maturing, the balls burst open and the seeds covered with cotton fibers can be seen', ' Cotton plants are usually grown at places having black soil and warm climate']"
50,what is the process of separating fibers of cotton from its seeds?\n,"[' Ginning was traditionally done by hand', ' Fibers are then separated from the seeds by combining', ' This process is called ginning of cotton', ' Where does some cotton wool come from? some cotton wool is grown in the fields', ' From the balls, cotton is usually picked by hand', ' What do you observe? The small, thin strands that you see are made up of cotton fibers', ' After maturing, the balls burst open and the seeds covered with cotton fibers can be seen', ' These days, machines are also used for ginning']"
51,what is the use of hand looms or power looms ?\n,"[' Ginning was traditionally done by hand', ' This process is called ginning of cotton', ' From the balls, cotton is usually picked by hand', ' Two sets of yarn are woven to make a fabric', 'The yarns are much thinner than our paper strips, of course! Weaving of fabric is done on looms', ' These days, machines are also used for ginning', ' looms are either hand operated or power operated', ' Which among the following crops requires a warm climate to grow?The process of arranging two sets of yarns together to make a fabric is called weaving']"
52,What is the process of making a sweater from the woolen yarns ?,"[' Ginning was traditionally done by hand', ' Weaving and knitting are used for making different kinds of fabric', ' Knitting is done by hand and also on machines', ' Socks and many other clothing items are made of knitted fabrics', ' This process is called ginning of cotton', ' Have you ever pulled a single yarn from a torn pair of socks? What happens? A single yarn gets pulled out continuously as the fabric gets unraveled', ' These days, machines are also used for ginning', ' Which among the following crops requires a warm climate to grow? Have you noticed how sweaters are made? In knitting, a single yarn is used to make a piece of fabric']"
53,which of the following was not used by ancient people to cover their bodies?\n,"['Have you ever wondered what materials people used in ancient times for clothes? It appears that in those times people used the bark and big leaves of trees or animal skins and furs to cover those times people used the bark and big leaves of trees or animal skins and furs to cover themselves', ' Stitched clothes have gone through many variations since the invention of the sewing needle', ' In ancient Egypt, cotton as well as flax were cultivated near the river Nile and were used for making fabrics', ' The early Indians wore fabrics made out of cotton that grew in the regions near the river Ganga', ' Many different ways of draping fabrics were used', ' Vines, animal fleece or hair were twisted together into long strands', ' Vines, animal fleece or hair were woven into fabrics', ' People simply draped the fabrics around different parts of People body', ' After people began to settle in agricultural communities, people learnt to weave twigs and grass into mats and baskets']"
54,which of the following is used to obtain jute fibre?\n,"['Jute fibre is obtained from the stem of the jute plant', ' In India, jute is mainly grown in West Bengal, Bihar and Assam', ' the jute plant is normally harvested when the jute plant is at flowering stage', ' Jute fibre is cultivated during the rainy season', ' The stems of the harvested plants rot and fibres are separated by hand']"
55,which of the following are the two main processes of making fabrics?\n,"[' Knitting is done by hand and also on machines', ' The process of arranging two sets of yarns together to make a fabric is called weaving', ' Vines, animal fleece or hair were woven into fabrics', ' In knitting, a single yarn is used to make a piece of fabric Socks and many other clothing items are made of knitted fabrics', 'There are many ways by which fabrics are made from yarns']"
56,what  is used to separate small stones from sand ?\n,"[' we need to remove impurities and bran that may be present in it', ' What do we do? we use a sieve and pour the flour into a sieve', ' Usually, a bagful of wheat is poured on a slanting sieve', ' Sieving removes pieces of stones, stalk and husk that may still remain with wheat after threshing and winnowing', ' In a flour mill, impurities like husk and stones are removed from wheat before grinding wheat', ' Sieving allows the fine flour particles to pass through the holes of a sieve while the bigger impurities remain on a sieve', ' You may have also noticed similar sieves being used at construction sites to separate pebbles and stones from sand']"
57,what is the process by which a gas changes into a liquid?\n,"[' Try decantation', ' Did the tea leaves remain in a strainer? The process of conversion of water vapour into its liquid form is called filtration', 'When the steam comes in contact with the metal plate cooled with ice, the steam condenses and forms liquid water', ' Did you ever see water drops condensed under a plate that has been used to cover a vessel containing milk that has just been boiled? After liquid water has evaporated, what is left behind in the kettle? Let us again consider a mixure of a solid and liquid', ' The process of conversion of water vapour into conversion of water vapour liquid form is called condensation', ' liquid water drops that you observed falling from the plate, were due to condensation of steam']"
58,what is the method of separation used for separating tea leaves from tea using a tea-strainer ?\n,"[' Try decantation', ' Did you ever see water drops condensed under a plate that has beenused to cover a vessel containing milk that has just been boiled? After liquid water has evaporated, what is left behind in the kettle? Let us again consider a mixure of a solid and liquid', ' After preparing tea, what do you do to remove the tea leaves? Usually, we use stainer to remove tea leaves', ' Did the tea leaves remain in a strainer? The process of conversion of water vapour into its liquid form is called filtration', ' The process of conversion of water vapour into conversion of water vapour liquid form is called condensation', ' But, do you still get a few leaves in your tea? Now, pour your tea through a strainer']"
59,which one of the following methods is used to obtain salt from sea-water?\n,"[' Common salt is then obtained from this mixture of salts by further purification', ' One of many salts mixed in it is the common salt', ' When sea water is allowed to stand in shallow pits, water gets heated by sunlight and slowly turns into water vapour, through evaporation', ' In a few days, sea water evaporates completely leaving behind the solid salts', 'The process of conversion of water into conversion of water vapour is called evaporation', ' Where do you think, salt comes from? Sea water contains many salts mixed in Sea water', ' The process of conversion of water vapour into conversion of water vapour liquid form is called condensation']"
60,what is the name of the process that we use to separate grain from stalks ?\n,"[' The seeds of grain get separated and form a heap near the platform for winnowing', ' Machines are also used to thresh large quantities of grain', ' The method of separating components of a mixture is commonly used by farmers to separate lighter husk particles from heavier seeds of grain', ' So, plucking grain seeds from grain seeds stalks would be impossible', ' How does one separate grain seeds from their stalks? The process that is used to separate grain from stalks is threshing', ' In The process that is used to separate grain from stalks, their stalks are beaten to free the grain seeds']"
61,how the components of a mixture are separated in winnowing ?\n,"[' The method of separating components of a mixture is called winnowing', ' The seeds of grain get separated and form a heap near the platform for winnowing', ' lighter husk particles are carried away by the wind', ' Machines are also used to thresh large quantities of grain', ' The method of separating components of a mixture is commonly used by farmers to separate lighter husk particles from heavier seeds of grain', ' Winnowing is used to separate heavier and lighter components of a mixture by wind or by blowing air', ' So, plucking grain seeds from grain seeds stalks would be impossible', ' How does one separate grain seeds from their stalks? The process that is used to separate grain from stalks is threshing', ' In The process that is used to separate grain from stalks, their stalks are beaten to free the grain seeds']"
62,which of the following processes can be considered as the reverse of condensation?\n,"[' When sea water is allowed to stand in shallow pits, water gets heated by sunlight and slowly turns into water vapour, through evaporation', 'The process of conversion of water into conversion of water vapour is called evaporation', ' The process of conversion of water vapour into conversion of water vapour liquid form is called condensation', ' When the steam comes in contact with the metal plate cooled with ice, the steam condenses and forms liquid water', ' The process of conversion of water into its vapour takes place continuously wherever water is present', ' liquid water drops that you observed falling from the plate, were due to condensation of steam']"
