No.,qno,Ans1,Ans2,Ans3,Ans4,Correct Ans,Question Type,Question Sentence 
30,30,minerals must be taken to make our bones and teeth strong\n,proteins must be taken to make our bones and teeth strong\n,fats must be taken to make our bones and teeth strong\n,carbohydrates must be taken to make our bones and teeth strong\n,minerals must be taken to make our bones and teeth strong\n,what,what must be taken to make our bones and teeth strong?\n
31,31,2 minerals are mentioned in the paragraph,4 minerals are mentioned in the paragraph,5 minerals are mentioned in the paragraph,3 minerals are mentioned in the paragraph,4 minerals are mentioned in the paragraph,how,How many minerals are mentioned in the paragraph?
32,32,we eat plenty of fruits and vegetables because vegetables improves palatability of food\n,we eat plenty of fruits and vegetables because vegetables supply vitamins and minerals\n,we eat plenty of fruits and vegetables because vegetables supply proteins\n,we eat plenty of fruits and vegetables because vegetables supply fats\n,we eat plenty of fruits and vegetables because vegetables supply vitamins and minerals\n,why,why we eat plenty of fruits and vegetables? \n
33,33,calcium mineral causes condition of anaemia\n,sodium mineral causes condition of anaemia\n,iron mineral causes condition of anaemia\n,all minerals causes condition of anaemia\n,iron mineral causes condition of anaemia\n,which,which mineral causes condition of anaemia ? \n
34,34,respiration in plants takes place with the help of root\n,respiration in plants takes place with the help of leaves\n,respiration in plants takes place with the help of flower\n,respiration in plants takes place with the help of fruit\n,respiration in plants takes place with the help of leaves\n,how,How do respiration in plants takes place? \n
35,35,in plant respiration oxygen is taken in\n,in plant respiration carbon dioxide is  taken in\n,in plant respiration water vapour is taken in\n,in plant respiration air is taken in\n,in plant respiration carbon dioxide is  taken in.\n,what,What happens in plant respiration? \n
36,36,trees can be classified as tall and strong hard stem\n,trees can be classified as medium height and strong hard stem\n,trees can be classified as weak stems which need support\n,trees can be classified as soft and flexible stem.\n,trees can be classified as medium height and strong hard stem\n,how,How trees can be classified ?\n
37,37,thermal conductivity indicates capacity to carry heat\n,thermal conductivity indicates capacity to carry electron\n,thermal conductivity indicates capacity to carry electric charge\n,thermal conductivity indicates charge.\n,thermal conductivity indicates capacity to carry heat\n,what,What does thermal conductivity indicates? \n
38,38,if a pressure is applied to chalk it breaks into small pieces. white color of a chalk is responsible for this\n,if a pressure is applied to chalk it breaks into small pieces. porosity of the chalk  is responsible for this\n,if a pressure is applied to chalk it breaks into small pieces. brittleness of a chalk  is responsible for this\n,if a pressure is applied to chalk it breaks into small pieces. hardness of aa chalk  is responsible for this\n,if a pressure is applied to chalk it breaks into small pieces. brittleness of a chalk  is responsible for this\n,which,which of the following property is responsible for breaking of chalks in pieces.  \n
39,39,the process of separating the cotton fibre from seed is called spinning\n,the process of separating the cotton fibre from seed is called retting\n,the process of separating the cotton fibre from seed is called weaving\n,the process of separating the cotton fibre from seed is called ginning\n,the process of separating the cotton fibre from seed is called ginning\n,what,What is the process of separating the cotton fibre from seed ?\n
40,40,first link to any food chain is a green plant because plants are fixed at one place\n,first link to any food chain is a green plant because plants alone has a capacity to synthesize food\n,first link to any food chain is a green plant because they can eat anything\n,first link to any food chain is a green plant because they respire\n,first link to any food chain is a green plant because plants alone has a capacity to synthesize food\n,why,Why green plant is the first link to any food chain ?\n
41,41,cotton is a synthetic fibre\n,jute  is a synthetic fibre\n,polyster is a synthetic fibre\n,natural fibre is a synthetic fibre.\n,polyster is a synthetic fibre\n,which,which one of the following is a synthetic fibre?\n
42,42,silk is a natural fibre\n,nylon is a natural fibre\n,rayon is a natural fibre\n,jute is a natural fibre.\n,jute is a natural fibre.\n,which,which is a natural fibre?\n
43,43,Yam strands are used for making the clothes\n,Thread strands are used for making the clothes\n,Fibre strands are used for making the clothes\n,Fabric  strands are used for making the clothes\n,Fibre strands are used for making the clothes\n,which,Which strands are used for making the clothes?\n
44,44,balanced diet is one which have all nutrients that the body needs and that too in right proportions\n,balanced diet is one which have all nutrients but more of carbo-hydrates and fats\n,balanced diet is one which have all nutrients but more of fats         \n,balanced diet is one which have all nutrients but more of minerals.\n,balanced diet is one which have all nutrients that the body needs and that too in right proportions\n,what,what is the contents of balanced diet ?
45,45,the food component fats is more present in rice        \n,the food component carbohydrates more present in rice\n,the food component proteins more present in rice    \n,the food component water more present in rice\n,the food component carbohydrates more present in rice\n,which,which of the following food components is present more in rice?\n
46,46,lime water changes starch to blue black\n,iodine changes starch to blue black,methylated solution changes starch to blue black,benedict's solution changes starch to blue black\n,iodine changes starch to blue black,which,which of the following substance changes starch to blue black?\n
47,47,carbohydrates and fats containing food are called protective foods          \n,carbohydrates and fats containing food are called fibrous foods\n,carbohydrates and fats containing food are called body building foods\n,carbohydrates and fats containing food are called energy giving foods\n,carbohydrates and fats containing food are called energy giving foods\n,what,what are carbohydrates and fats contained foods called ?\n
48,48,"fungi are found as slimy, green patches on ponds or on stagnant water  	                            \n","bryophytes are found as slimy, green patches on ponds or on stagnant water\n","bacteria are found as slimy, green patches on ponds or on stagnant water	         \n","algae are found as slimy, green patches on ponds or on stagnant water\n","algae are found as slimy, green patches on ponds or on stagnant water\n",which,"which of the following organisms are found as slimy, green patches on ponds or on stagnant water?\n"
49,49,fabric is the basic unit of every cloth	                       \n,fiber is the basic unit of every cloth\n,yarn is the basic unit of every cloth     	               \n,nylon  is the basic unit of every cloth\n,yarn  is the basic unit of every cloth\n,what,what is the basic unit of every cloth?\n
50,50,red algae requires a warm climate to grow                      \n,cotton requires a warm climate to grow\n,apple requires a warm climate to grow   	                    \n,pine requires a warm climate to grow\n,cotton requires a warm climate to grow\n,which,which among the following crops requires a warm climate to grow?\n
51,51,knitting is the process of separating fibres of cotton from cotton seeds 	                   \n,ginning is the process of separating fibres of cotton from ginning seeds \n,spinning is the process of separating fibres of cotton from cotton seeds 	                   \n,weaving is the process of separating fibres of cotton from cotton seeds \n,ginning is the process of separating fibres of cotton from ginning seeds \n,what,what is the process of separating fibers of cotton from its seeds?\n
52,52,hand looms or power looms are used for ginning           \n,hand looms or power looms are used for weaving\n,hand looms or power looms are used for spinning              \n,hand looms or power looms are used for shearing\n,hand looms or power looms are used for weaving\n,what,what is the use of hand looms or power looms ?\n
53,53,ginning  is an example of making a sweater from the woolen yarns                   \n,knitting is an example of making a sweater from the woolen yarns   \n,spinning is an example of making a sweater from the woolen yarns                 \n,soaking is an example of making a sweater from the woolen yarns   \n,knitting is an example of making a sweater from the woolen yarns   \n,what,What is the process of making a sweater from the woolen yarns ?
54,54,big leaves of trees was not used by ancient people to cover ancient people bodies                      \n,animal skins was not used by ancient people to cover animal skins bodies\n,nylon clothes  was not used by ancient people to cover nylon clothes   bodies \n,furs was not used by ancient people to cover furs bodies\n,nylon clothes was not used by ancient people to cover nylon clothes bodies\n,which,which of the following was not used by ancient people to cover their bodies?\n
55,55,jute fibre is obtained from  flower of the jute plant                     \n,jute fibre is obtained from root of the jute plant\n,jute fibre is obtained from stem  of the jute plant  \n,jute fibre is obtained from leaf of the jute plant.\n,jute fibre is obtained from stem of the jute plant.\n,which,which of the following is used to obtain jute fibre?\n
56,56,ginning and weaving are the two main processes of making fabrics\n,weaving and knitting are the two main processes of making fabrics\n,weaving and spinning are the two main processes of making fabrics\n,ginning and knitting are the two main processes of making fabrics\n,weaving and knitting are the two main processes of making fabrics\n,which,which of the following are the two main processes of making fabrics?\n
57,57,glass  is used to separate small stones from sand	            \n,winnowing fan  is used to separate small stones from sand\n,beaker is used to separate small stones from sand           \n,sieve  is used to separate small stones from sand\n,sieve  is used to separate small stones from sand\n,what,what  is used to separate small stones from sand ?\n
58,58,decantation is the process by which a gas changes into a liquid\n,sublimation is the process by which a gas changes into a liquid\n,condensation is the process by which a gas changes into a liquid\n,sedimentation is the process by which a gas changes into a liquid\n,condensation is the process by which a gas changes into a liquid\n,what,what is the process by which a gas changes into a liquid?\n
59,59,tea leaves are separated from tea using a tea-strainer. distillation is the method of separation\n,tea leaves are separated from tea using a tea-strainer. decantation is the method of separation\n,tea leaves are separated from tea using a tea-strainer. filtration is the method of separation\n,tea leaves are separated from tea using a tea-strainer. loading is the method of separation\n,tea leaves are separated from tea using a tea-strainer. filtration is the method of separation\n,what,what is the method of separation used for separating tea leaves from tea using a tea-strainer ?\n
60,60,sedimentation is the method used to obtain salt from sea-water\n,decantation is the method used to obtain salt from sea-water\n,filtration is the method used to obtain salt from sea-water\n,evaporation is the method used to obtain salt from sea-water\n,evaporation is the method used to obtain salt from sea-water\n,which,which one of the following methods is used to obtain salt from sea-water?\n
61,61,the process that we use to separate grain from stalks is hand picking   \n,the process that we use to separate grain from stalks is threshing\n,the process that we use to separate grain from stalks is winnowing   	           \n,the process that we use to separate grain from stalks is picking.           \n,the process that we use to separate grain from stalks is threshing\n,what,what is the name of the process that we use to separate grain from stalks ?\n
62,62,in winnowing the components of a mixture are separated by blowing air    \n,in winnowing the components of a mixture are separated by water\n,the process that we use to separate grain from stalks is hand picking   \n,the process that we use to separate grain from stalks is machine picking .  \n,in winnowing the components of a mixture are separated by blowing air\n,how,how the components of a mixture are separated in winnowing ?\n
63,63,evaporation is the processes can be considered as the reverse of condensation \n,vaporization  is the processes can be considered as the reverse of condensation \n,boiling   is the processes can be considered as the reverse of condensation    	               \n,separation is the processes can be considered as the reverse of condensation .\n,evaporation  is the processes can be considered as the reverse of condensation \n,which,which of the following processes can be considered as the reverse of condensation?\n
64,64,veins form a network on the leaf  is the characteristic feature of parallel venation\n,veins run parallel to the midrib  is the characteristic feature of parallel venation\n,veins run horizontally to the midrib  is the characteristic feature of parallel venation\n,veins criss-cross each other to form an irregular pattern  is the characteristic feature of parallel venation\n,veins run parallel to the midrib  is the characteristic feature of parallel venation\n,which,which of the following is the characteristic feature of parallel venation?\n
65,65,veins form a network on the leaf is the characteristic feature of reticulate venation\n,veins run parallel to the midrib is the characteristic feature of reticulate venation\n,veins run horizontally to the midrib is the characteristic feature of reticulate venation\n,veins are found only on the edge of the leaf is the characteristic feature of reticulate venation\n,veins form a network on the leaf is the characteristic feature of reticulate venation\n,what,what is the characteristic feature of reticulate venation?\n
66,66,trees are too weak to stand upright                           \n,creepers are too weak to stand upright                 \n,herbs are too weak to stand upright                          \n,shrubs are too weak to stand upright\n,creepers are too weak to stand upright\n,which,which of the following plants are too weak to stand upright?\n
67,67,the plants having weak stem and take support on neighboring structures is called a creeper            \n,the plants having weak stem and take support on neighboring structures is called a climber\n,the plants having weak stem and take support on neighboring structures is called a tree\n,the plants having weak stem and take support on neighboring structures is called a shrub\n,the plants having weak stem and take support on neighboring structures is called a climber\n,which,which plants have weak stem and take support on neighboring structures?\n
68,68,petiole is the part of the leaf by which it is attached to the stem.\n,lamina is the part of the leaf by which it is attached to the stem. \n,veins is the part of the leaf by which it is attached to the stem.  \n,leaflet is the part of the leaf by which it is attached to the stem.\n,petiole is the part of the leaf by which it is attached to the stem.\n,which,which part of the leaf is attached to the stem?
69,69,water vapors is given out during the process of photosynthesis\n,carbon dioxide is given out during the process of photosynthesis\n,oxygen  is given out during the process of photosynthesis	   \n,air is given out during the process of photosynthesis.\n,oxygen is given out during the process of photosynthesis\n,which,which of the following is given out during the process of photosynthesis?\n
70,70,petiole is the flat green portion of the leaf.\n,lamina is the flat green portion of the leaf. \n,leaflet is the flat green portion of the leaf.   \n,stipule is the flat green portion of the leaf. \n,lamina is the flat green portion of the leaf. \n,what,what is the flat green portion of the leaf ?\n
71,71,wide and large paws is not an adaptation of animals living in polar regions\n,layer of fat under skin is not an adaptation of animals living in polar regions\n,thin skin with scales is not an adaptation of animals living in polar regions\n,strong hooves is not an adaptation of animals living in polar regions\n,thin skin with scales is not an adaptation of animals living in polar regions\n,which,which option is not an adaptation of animals living in polar regions?\n
72,72,grassland habitat is suitable for animals with thick fur \n,mountain habitat is suitable for animals with thick fur\n,desert habitat is suitable for animals with thick fur \n,ocean habitat is suitable for animals with thick fur\n,mountain habitat is suitable for animals with thick fur\n,which,Which habitat is suitable for animals with thick fur? \n
73,73,cone shaped trees is generally found in mountain region trees   \n,non-sloping branches is generally found in mountain region trees  \n,needle like leaves  is generally found in mountain region trees\n,round shaped  trees is generally found in mountain region trees                         \n,"in trees of mountain region, we generally find that they are cone shaped\n",what,What type of trees generally found in mountain region ?\n
74,74,mountain regions  is very cold and windy with snowfall    \n,grasslands  is very cold and windy with snowfall\n,forests  is very cold and windy with snowfall        \n,deserts  is very cold and windy with snowfall \n,mountain regions  is very cold and windy with snowfall \n,which,Which type of habitat is very cold and windy with snowfall ?
75,75,organism feeds on dead and decaying organic matter is the characteristic feature of organisms exhibiting symbiosis\n,organisms trap and feed on insects is the characteristic feature of organisms exhibiting symbiosis\n,two organisms live together and get benefitted from each other is the characteristic feature of organisms exhibiting symbiosis\n,one organism grows as a parasite on the body of another is the characteristic feature of organisms exhibiting symbiosis\n,two organisms live together and get benefitted from each other is the characteristic feature of organisms exhibiting symbiosis\n,which,which of the following is the characteristic feature of organisms exhibiting symbiosis?\n
76,76,needle like leaves adaptation helps the cactus plant to minimize loss of water\n,broad leaves adaptation helps the cactus plant to minimize loss of water\n,branched stem adaptation helps the cactus plant to minimize loss of water  \n,fibrous roots  adaptation helps the cactus plant to minimize loss of water\n,needle like leaves adaptation helps the cactus plant to minimize loss of water \n,which,which adaptation helps the cactus plant to minimize loss of water?\n
77,77,the long legs of a camel help  a camel to move fast\n,the long legs of a camel help a camel to keep body away from heat of sand\n,the long legs of a camel help the camel to defend  enemies\n,the long legs of a camel help a camel to run fast.\n,the long legs of a camel help a camel to keep body away from heat of sand\n,what,what is the use of  long legs of a camel ?\n
78,78,a plant that loses very little water through transpiration and has very small leaves is adapted to mountain regions        \n,a plant that loses very little water through transpiration and has very small leaves is adapted to grasslands\n,a plant that loses very little water through transpiration and has very small leaves is adapted to forests            \n,a plant that loses very little water through transpiration and has very small leaves is adapted to deserts\n,a plant that loses very little water through transpiration and has very small leaves is adapted to deserts\n,which,which habitat is adapted by  plant having very small leaves?\n
79,79," desert  habitat is suitable for the plant having long, hollow and light stems and reduced size roots	    \n","terrestrial habitat is suitable for the plant having long, hollow and light stems and reduced size roots\n","aquatic habitat is suitable for the plant having long, hollow and light stems and reduced size roots	   \n"," air habitat is suitable for the plant having long, hollow and light stems and reduced size roots	   \n","aquatic habitat is suitable for the plant having long, hollow and light stems and reduced size roots	   \n",which,"which habitat is suitable for the plant having long, hollow and light stems and reduced size roots ?"
80,80,sub-soil water is the source of groundwater\n,river water is the source of groundwater\n,rainwater source of groundwater\n,soil is the source of groundwater.\n,rainwater source of groundwater\n,which,which is the source of groundwater?\n
81,81,water cycle means carrying of water using bicycles\n,water cycle means carrying of sea water to land by rivers etc.\n,water cycle means carrying of tap water to our homes\n,water cycle means circulation of water between ocean and land\n,water cycle means circulation of water between ocean and land\n,what,what is the meaning of water cycle ?\n
82,82,by giving off carbon dioxide and absorbing oxygen photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere\n,by giving off oxygen and absorbing carbon dioxide photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere\n,by releasing oxygen and carbon dioxide photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere\n,by absorbing oxygen and carbon dioxide photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere\n,by giving off oxygen and absorbing carbon dioxide photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere\n,how,how does photosynthesis help to maintain the percentage of oxygen and carbon dioxide in the atmosphere?\n
83,83,storing ground water present in wells is rain water harvesting\n,stopping the cultivation of crops to save water is rain water harvesting\n,the seeping of water into the ground is rain water harvesting\n,collecting rainwater and storing rainwater for future use is rain water harvesting\n,collecting rainwater and storing rainwater for future use is rain water harvesting\n,what,what is rain water harvesting?\n
84,84,floods occur in those areas where it rains excessively\n,floods occur in those areas where we have constructed large dams\n,floods occur in those areas where it rains little.\n,floods occur in those areas where floods is dry climate.\n,floods occur in those areas where it rains excessively\n,where,where does floods occur?
85,85,if there are no rains at a place for a long time no rains at a place results in floods              \n,if there are no rains at a place for a long time no rains at a place results in drought\n,if there are no rains at a place for a long time no rains at a place results in either floods or drought\n,if there are no rains at a place for a long time no rains at a place results in earthquake.            \n,if there are no rains at a place for a long time no rains at a place results in drought\n,what,what happens if there are no rains at a place for a long time?\n
86,86,pediculture includes culturing of earthworms and redworms\n,vermicomposting includes culturing of earthworms and redworms\n,sericulture includes culturing of earthworms and redworms\n,pisciculture includes culturing of earthworms and redworms\n,vermicomposting includes culturing of earthworms and redworms\n,which,which of these includes culturing of earthworms and redworms?\n
87,87,powdered egg shells items when mixed in wastes help red worms in grinding red worms food\n,powdered sea shells items when mixed in wastes help red worms in grinding red worms food\n,soil when mixed in wastes help red worms in grinding red worms food\n,cowdunk when mixed in wastes help red worms in grinding red worms food\n,powdered egg shells items when mixed in wastes help red worms in grinding red worms food\n,which,which of the following items help red worms in grinding their food?\n
88,88,the rotting and conversion of some materials into manure is called recycling.    \n,the rotting and conversion of some materials into manure is called composting.\n,the rotting and conversion of some materials into manure is called garbage.     \n,the rotting and conversion of some materials into manure is called land fill.\n,the rotting and conversion of some materials into manure is called composting.\n,what,what is called for the rotting and conversion of some materials into manure?\n
89,89,"revise, reuse, redeem are useful 3 r's  to save the environment\n","reduce, reuse, recycle are useful 3 r's  to save the environment\n","reduce, resell, redeem are useful 3 r's  to save the environment\n","revise, resell, reuse are useful 3 r's  to save the environment\n","reduce, reuse, recycle are useful 3 r's  to save the environment\n",which,which of the following 3 r's are useful to save the environment?\n
90,90,safai-karamcharis take the garbage after collecting it from dust-bins to homes\n,safai-karamcharis take the garbage after collecting it from dust-bins to distant markets\n,safai-karamcharis take the garbage after collecting it from dust-bins to landfills\n,safai-karamcharis take the garbage after collecting it from dust-bins to any place of their choice\n,safai-karamcharis take the garbage after collecting it from dust-bins to landfills\n,where,where do safai-karamcharis take the garbage after collecting it from dust-bins?\n
91,91,garbage is not spread as such over the landfill site \n,garbage is separated into useful and non-useful components and then spread over the landfill site \n,garbage is thrown away in the landfill site.\n,garbage is stored in the landfill site.\n,garbage is separated into useful and non-useful components and then spread over the landfill site \n,how,how is garbage handled at the landfill site?\n
92,92,garbage dump is low lying land used to dispose garbage. \n,low lying land used to dispose garbage is called landfill\n,low lying land used to dispose garbage is called dustbin           \n,low lying land used to dispose garbage is called storage\n,low lying land used to dispose garbage is called landfill\n,what,what is garbage dump?\n
93,93,roughage is important to humans as it prevents constipation \n,roughage is important to humans as it builds and repairs tissues \n,roughage is important to humans as it maintains the health \n,r oughage is important to humans as it produces hemoglobin in red blood cells \n,roughage is important to humans as it prevents constipation \n,how,how is roughage important to humans?\n
94,94,sieving  is a separation technique based on the difference in weights of the solids in a solid-solid mixture. 	                         \n,handpicking is a separation technique based on the difference in weights of the solids in a solid-solid mixture.    \n,threshing is a separation technique based on the difference in weights of the solids in a solid-solid mixture.	     \n,winnowing is a separation technique based on the difference in weights of the solids in a solid-solid mixture.\n,winnowing is a separation technique based on the difference in weights of the solids in a solid-solid mixture.\n,which,which separation technique is based on the difference in weights of the solids in a solid-solid mixture ?\n
95,95,winnowing is a separation technique used only when the components of a solid-solid mixture have different sizes\n,sieving is a separation technique used only when the components of a solid-solid mixture have different sizes\n,threshing is a separation technique used only when the components of a solid-solid mixture have different sizes\n,magnetic separation is a separation technique used only when the components of a solid-solid mixture have different sizes\n,sieving is a separation technique used only when the components of a solid-solid mixture have different sizes\n,which,which separation technique is used to separate the components of a solid-solid mixture of different sizes ?\n
96,96,stainless steel pans are usually provided with copper bottoms. the reason for this could be the copper bottom makes the pan more durable \n,stainless steel pans are usually provided with copper bottoms. the reason for this could be such pans appear colorful.\n,stainless steel pans are usually provided with copper bottoms. the reason for this could be copper is a better conductor of heat than stainless steel.\n,stainless steel pans are usually provided with copper bottoms. the reason for this could be copper is easier to clean than stainless steel.\n,stainless steel pans are usually provided with copper bottoms. the reason for this could be copper is a better conductor of heat than stainless steel\n,why,why stainless steel pans are usually provided with copper bottoms ?\n
97,97,plastic is a good conductor of heat	                        \n,water is a good conductor of heat\n,glass is a good conductor of heat         \n,copper is a good conductor of heat\n,copper is a good conductor of heat\n,which,which of the following is a good conductor of heat?\n
98,98,from a high pressure to a low pressure region is heat conducted in solids\n,from a colder to a hotter region is heat conducted in solids\n,from a hotter to a colder region is heat conducted in solids\n,from a low pressure to a high pressure region is heat conducted in solids\n,from a hotter to a colder region is heat conducted in solids\n,how,how is heat conducted in solids?\n
99,99,due to convection of heat it is  hotter over the top of a fire than at the same distance on the sides\n,due to conduction of heat  it is  hotter over the top of a fire than at the same distance on the sides\n,due to radiation of heat  it is  hotter over the top of a fire than at the same distance on the sides\n,"due to conduction, convection and radiation of heat  it is  hotter over the top of a fire than at the same distance on the sides\n",due to convection of heat it is  hotter over the top of a fire than at the same distance on the sides\n,why,why the surface is hotter over the top of a fire than on the sides?\n
100,100,by conduction mode of transmission of heat does air get heated up   \n,by convection mode of transmission of heat does air get heated up     \n,by radiation mode of transmission of heat does air get heated up 	     \n,by diffusion mode of transmission of heat does air get heated up\n,by convection mode of transmission of heat does air get heated up\n,which,by which mode of transmission of heat does air get heated up?\n
